"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"","Greater Vancouver","$ 720,700","329.2","1.0 %","-0.9 %","-4.6 %","-1.1 %","15.7 %","11.2 %","104.0 %"
"","Burnaby East","$ 760,000","319.2","-1.1 %","-1.5 %","-6.7 %","-0.6 %","16.2 %","10.2 %","98.5 %"
"","Burnaby North","$ 696,600","351.6","0.6 %","-2.2 %","-5.2 %","0.2 %","23.5 %","21.0 %","118.5 %"
"","Burnaby South","$ 758,800","361.2","0.9 %","1.0 %","-2.5 %","0.3 %","19.6 %","15.1 %","119.7 %"
"","Coquitlam","$ 656,300","372.3","0.5 %","-1.3 %","-3.5 %","-0.9 %","19.4 %","21.9 %","137.1 %"
"","Ladner","$ 691,100","351.5","3.1 %","-3.6 %","-1.9 %","8.7 %","42.7 %","43.0 %","143.8 %"
"","Maple Ridge","$ 503,700","347.9","-0.9 %","-4.1 %","-9.8 %","-3.5 %","34.2 %","34.7 %","148.9 %"
"","New Westminster","$ 622,500","373.2","0.5 %","-1.5 %","-5.9 %","0.8 %","21.2 %","21.9 %","129.7 %"
"","North Vancouver","$ 749,000","299.1","-0.9 %","-4.0 %","-6.8 %","-2.9 %","12.1 %","12.0 %","113.9 %"
"","Pitt Meadows","$ 568,900","383.6","-0.6 %","-4.3 %","-9.9 %","-4.7 %","28.1 %","28.4 %","153.4 %"
"","Port Coquitlam","$ 605,400","411.6","1.1 %","-0.8 %","-3.4 %","3.3 %","33.1 %","29.8 %","165.4 %"
"","Port Moody","$ 677,200","361.0","-0.4 %","-3.1 %","-6.8 %","-1.5 %","20.8 %","20.2 %","133.1 %"
"","Richmond","$ 720,700","389.4","4.6 %","3.0 %","-0.5 %","3.2 %","25.0 %","20.9 %","130.0 %"
"","Squamish","$ 538,800","319.6","7.4 %","1.1 %","-19.8 %","-5.0 %","22.1 %","27.4 %","178.4 %"
"","Sunshine Coast","$ 511,300","293.0","7.1 %","1.0 %","-21.4 %","-8.7 %","13.7 %","11.3 %","119.1 %"
"","Tsawwassen","$ 713,500","333.1","2.7 %","-3.7 %","-2.5 %","7.6 %","28.9 %","24.9 %","130.2 %"
"","Vancouver East","$ 676,800","387.6","0.0 %","-0.3 %","-6.0 %","-1.4 %","12.2 %","8.1 %","112.0 %"
"","Vancouver West","$ 814,800","307.6","0.4 %","-1.6 %","-3.5 %","-3.8 %","5.5 %","-0.1 %","88.4 %"
"","West Vancouver","$ 1,196,600","233.7","-0.4 %","0.3 %","-3.7 %","-1.0 %","15.0 %","3.1 %","72.5 %"
"","Whistler","$ 611,100","263.4","7.5 %","1.2 %","-19.4 %","-5.5 %","26.9 %","37.0 %","168.8 %"
