"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","Richmond","$ 1,049,800","376.5","0.2 %","-0.2 %","-5.3 %","5.4 %","34.0 %","26.7 %","121.5 %"
"","Squamish","$ 954,100","343.9","-0.3 %","-5.1 %","-10.7 %","-0.8 %","30.4 %","36.7 %","174.5 %"
"","Sunshine Coast","$ 694,500","315.0","0.4 %","-4.0 %","-9.8 %","0.5 %","34.2 %","41.3 %","156.3 %"
"","Tsawwassen","$ 896,900","281.4","-3.1 %","-3.9 %","-10.6 %","-2.5 %","12.6 %","-0.7 %","77.7 %"
"","Vancouver East","$ 1,040,300","340.6","-1.1 %","-2.8 %","-8.0 %","-3.7 %","18.4 %","15.9 %","94.1 %"
"","Vancouver West","$ 1,345,700","300.9","-5.8 %","-7.6 %","-9.4 %","-7.7 %","8.9 %","4.9 %","79.1 %"
"","Whistler","$ 1,374,900","350.5","1.4 %","-4.6 %","-10.2 %","1.8 %","36.5 %","50.2 %","201.6 %"
"Apartment","Lower Mainland","$ 663,000","328.5","-1.3 %","-2.6 %","-7.8 %","1.4 %","20.2 %","15.1 %","103.5 %"
"","Greater Vancouver","$ 713,700","326.0","-0.9 %","-2.0 %","-6.9 %","1.7 %","16.6 %","13.0 %","101.2 %"
"","Burnaby East","$ 768,100","322.6","-1.3 %","0.2 %","-5.9 %","3.3 %","19.7 %","13.1 %","100.0 %"
"","Burnaby North","$ 692,500","349.6","-1.7 %","-2.1 %","-6.5 %","2.7 %","25.2 %","22.5 %","118.4 %"
"","Burnaby South","$ 752,100","358.0","0.0 %","0.3 %","-4.5 %","2.9 %","20.2 %","17.0 %","114.8 %"
"","Coquitlam","$ 653,300","370.6","-0.7 %","-1.3 %","-6.7 %","2.6 %","21.8 %","23.0 %","144.6 %"
"","Ladner","$ 670,400","341.0","-3.5 %","-5.4 %","-8.9 %","9.2 %","34.6 %","39.8 %","135.0 %"
"","Maple Ridge","$ 508,300","351.0","-1.9 %","-5.2 %","-9.9 %","3.3 %","35.6 %","38.4 %","160.2 %"
"","New Westminster","$ 619,400","371.3","-1.5 %","-2.3 %","-6.7 %","4.6 %","22.3 %","23.3 %","129.3 %"
"","North Vancouver","$ 756,000","301.9","-1.5 %","-4.0 %","-7.8 %","1.6 %","19.0 %","14.5 %","109.5 %"
"","Pitt Meadows","$ 572,500","386.0","-1.9 %","-5.2 %","-10.3 %","2.0 %","29.4 %","31.2 %","164.6 %"
"","Port Coquitlam","$ 599,200","407.3","-1.2 %","-0.8 %","-7.6 %","5.2 %","33.0 %","33.5 %","166.2 %"
"","Port Moody","$ 680,200","362.6","-2.2 %","-4.2 %","-9.0 %","-1.2 %","23.2 %","23.1 %","143.4 %"
"","Richmond","$ 689,400","372.4","0.2 %","-2.1 %","-7.6 %","6.2 %","21.5 %","19.8 %","114.9 %"
"","Squamish","$ 501,900","297.7","-2.8 %","-12.7 %","-27.2 %","-10.5 %","12.9 %","18.0 %","136.1 %"
"","Sunshine Coast","$ 477,300","273.5","-2.0 %","-11.9 %","-27.4 %","-12.3 %","3.2 %","1.4 %","86.6 %"
"","Tsawwassen","$ 695,100","324.5","-3.2 %","-5.2 %","-9.0 %","7.2 %","23.5 %","23.4 %","123.2 %"
"","Vancouver East","$ 676,700","387.6","-0.9 %","-1.5 %","-5.5 %","0.4 %","13.6 %","10.8 %","110.2 %"
"","Vancouver West","$ 811,600","306.4","-0.6 %","-1.3 %","-5.1 %","-0.5 %","7.1 %","3.0 %","87.6 %"
"","West Vancouver","$ 1,201,600","234.6","-4.1 %","0.7 %","-4.3 %","2.6 %","13.1 %","6.0 %","76.7 %"
"","Whistler","$ 568,400","245.0","-2.5 %","-10.7 %","-27.2 %","-10.5 %","16.7 %","24.7 %","125.8 %"
