"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","Tsawwassen","$ 1,334,800","295.6","-7.0 %","-8.9 %","-16.3 %","-21.2 %","19.7 %","8.7 %","94.9 %"
"","Vancouver East","$ 1,677,300","375.3","0.8 %","-2.3 %","-6.5 %","-11.5 %","18.6 %","10.7 %","105.2 %"
"","Vancouver West","$ 3,103,100","323.8","2.7 %","-0.8 %","-7.0 %","-10.7 %","6.3 %","-8.7 %","48.6 %"
"","West Vancouver","$ 3,051,800","283.8","-0.7 %","-2.4 %","-8.7 %","-8.4 %","22.6 %","-7.5 %","51.4 %"
"","Whistler","$ 2,269,200","306.4","-1.8 %","-10.1 %","-17.1 %","-15.8 %","28.4 %","35.3 %","151.6 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 908,800","343.9","1.2 %","-0.7 %","-5.0 %","-9.5 %","33.1 %","29.4 %","120.9 %"
"","Greater Vancouver","$ 1,038,500","357.7","1.8 %","1.0 %","-2.9 %","-6.3 %","29.8 %","26.3 %","119.9 %"
"","Burnaby East","$ 874,700","368.3","0.5 %","2.1 %","-0.2 %","-0.6 %","30.4 %","24.9 %","124.7 %"
"","Burnaby North","$ 892,100","362.2","2.4 %","3.5 %","-4.1 %","1.3 %","27.8 %","25.9 %","124.6 %"
"","Burnaby South","$ 966,500","359.2","1.9 %","2.4 %","0.3 %","-3.8 %","25.4 %","20.5 %","118.6 %"
"","Coquitlam","$ 999,900","387.3","2.5 %","0.6 %","-5.5 %","-8.8 %","34.0 %","31.3 %","157.2 %"
"","Ladner","$ 988,600","379.6","6.7 %","8.6 %","6.1 %","-1.9 %","35.8 %","31.6 %","145.5 %"
"","Maple Ridge","$ 723,600","359.5","3.5 %","-0.9 %","-3.6 %","-17.6 %","40.1 %","33.6 %","150.3 %"
"","New Westminster","$ 932,200","396.8","4.4 %","4.4 %","1.0 %","1.0 %","41.9 %","37.1 %","137.3 %"
"","North Vancouver","$ 1,286,200","349.3","4.1 %","4.1 %","-0.2 %","-3.4 %","36.4 %","31.7 %","118.9 %"
"","Pitt Meadows","$ 758,100","367.3","-1.2 %","-9.8 %","-8.6 %","-13.7 %","30.4 %","29.0 %","145.4 %"
"","Port Coquitlam","$ 884,700","354.3","0.6 %","1.8 %","-2.3 %","-7.5 %","39.7 %","32.6 %","152.4 %"
"","Port Moody","$ 984,000","373.6","-1.3 %","-1.7 %","-10.3 %","-6.6 %","35.4 %","35.6 %","149.4 %"
"","Richmond","$ 1,083,100","388.5","1.6 %","3.4 %","2.3 %","0.0 %","35.6 %","30.0 %","121.6 %"
"","Squamish","$ 978,600","352.8","1.8 %","2.2 %","-5.2 %","-9.7 %","34.2 %","38.7 %","185.7 %"
"","Sunshine Coast","$ 709,900","322.0","2.7 %","2.6 %","-5.3 %","-9.3 %","36.7 %","43.6 %","165.0 %"
"","Tsawwassen","$ 999,700","313.7","6.7 %","8.0 %","6.3 %","-1.6 %","22.8 %","10.4 %","97.2 %"
"","Vancouver East","$ 1,052,500","344.6","2.9 %","0.1 %","-5.0 %","-4.7 %","17.1 %","14.1 %","97.4 %"
"","Vancouver West","$ 1,347,800","301.4","-2.3 %","-5.6 %","-7.6 %","-12.0 %","8.0 %","3.1 %","77.4 %"
"","Whistler","$ 1,406,600","358.6","2.9 %","3.7 %","-5.5 %","-8.2 %","39.4 %","51.8 %","212.4 %"
"Apartment","Lower Mainland","$ 678,100","336.0","1.5 %","1.0 %","-2.0 %","-4.4 %","18.5 %","13.1 %","104.9 %"
"","Greater Vancouver","$ 732,200","334.5","1.6 %","1.6 %","-1.1 %","-3.0 %","15.1 %","11.7 %","103.6 %"
"","Burnaby East","$ 767,500","322.3","1.0 %","-1.4 %","-3.4 %","-4.3 %","15.1 %","8.6 %","108.3 %"
"","Burnaby North","$ 702,200","354.5","0.8 %","-0.3 %","-2.1 %","-3.0 %","23.1 %","19.0 %","114.5 %"
"","Burnaby South","$ 766,800","365.0","1.1 %","1.9 %","-1.2 %","-2.4 %","18.2 %","13.7 %","120.4 %"
"","Coquitlam","$ 663,100","376.1","1.0 %","0.8 %","-0.9 %","-5.3 %","19.1 %","20.1 %","141.2 %"
"","Ladner","$ 710,300","361.3","2.8 %","2.3 %","-0.6 %","7.4 %","47.2 %","41.1 %","149.0 %"
"","Maple Ridge","$ 507,500","350.5","0.7 %","-2.0 %","-7.1 %","-7.4 %","33.1 %","29.2 %","147.5 %"
"","New Westminster","$ 633,700","379.9","1.8 %","0.8 %","-2.7 %","-1.7 %","20.5 %","19.2 %","129.7 %"
"","North Vancouver","$ 763,700","305.0","2.0 %","-0.5 %","-2.4 %","-5.8 %","14.4 %","12.4 %","110.3 %"
"","Pitt Meadows","$ 572,400","386.0","0.6 %","-1.9 %","-7.3 %","-8.7 %","27.7 %","23.0 %","152.3 %"
"","Port Coquitlam","$ 611,500","415.7","1.0 %","0.8 %","-0.3 %","-1.4 %","33.3 %","27.8 %","170.6 %"
"","Port Moody","$ 705,400","376.0","4.2 %","1.5 %","-2.0 %","-3.1 %","21.4 %","20.4 %","149.7 %"
"","Richmond","$ 735,800","397.5","2.1 %","7.0 %","3.9 %","1.8 %","25.2 %","23.4 %","125.1 %"
"","Squamish","$ 579,700","343.8","7.6 %","12.3 %","-6.7 %","-4.2 %","27.9 %","34.0 %","203.7 %"
"","Sunshine Coast","$ 539,600","309.2","5.5 %","10.8 %","-10.2 %","-7.5 %","13.4 %","13.5 %","134.6 %"
"","Tsawwassen","$ 730,900","341.2","2.4 %","1.8 %","-1.5 %","5.6 %","32.2 %","21.4 %","135.6 %"
"","Vancouver East","$ 683,600","391.5","1.0 %","0.1 %","-2.6 %","-4.3 %","9.7 %","7.1 %","112.8 %"
"","Vancouver West","$ 824,400","311.2","1.2 %","0.9 %","-0.6 %","-4.2 %","3.9 %","1.4 %","87.7 %"
"","West Vancouver","$ 1,228,900","240.0","2.7 %","-1.9 %","-0.5 %","1.4 %","15.9 %","2.2 %","72.3 %"
"","Whistler","$ 656,300","282.9","7.4 %","12.5 %","-7.8 %","-4.3 %","32.0 %","42.1 %","191.0 %"
