"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","Pitt Meadows","$ 1,319,700","396.9","3.5 %","11.3 %","13.8 %","-4.3 %","46.1 %","42.8 %","176.0 %"
"","Port Coquitlam","$ 1,418,300","399.5","1.9 %","7.7 %","11.1 %","-0.7 %","51.2 %","43.6 %","174.0 %"
"","Port Moody","$ 2,035,300","386.4","1.4 %","2.4 %","4.6 %","-7.1 %","41.1 %","30.0 %","152.7 %"
"","Richmond","$ 2,182,000","444.1","-0.4 %","3.6 %","10.1 %","0.7 %","35.4 %","21.3 %","113.5 %"
"","Squamish","$ 1,639,400","401.1","-0.5 %","6.4 %","8.0 %","-10.4 %","36.2 %","47.5 %","208.3 %"
"","Sunshine Coast","$ 899,900","314.4","4.4 %","1.6 %","-1.1 %","-12.0 %","47.1 %","46.4 %","157.1 %"
"","Tsawwassen","$ 1,596,700","352.9","2.8 %","14.1 %","10.8 %","-5.6 %","38.9 %","31.1 %","132.0 %"
"","Vancouver East","$ 1,879,700","418.1","3.1 %","9.8 %","11.6 %","-1.5 %","31.1 %","25.4 %","120.9 %"
"","Vancouver West","$ 3,418,700","355.2","2.4 %","4.5 %","9.9 %","-3.2 %","13.2 %","5.2 %","62.6 %"
"","West Vancouver","$ 3,226,100","298.7","3.7 %","6.0 %","4.1 %","-7.6 %","22.1 %","2.2 %","61.4 %"
"","Whistler","$ 2,510,500","328.4","-0.3 %","6.1 %","7.5 %","-10.6 %","38.3 %","48.3 %","161.3 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change % |","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 973,600","370.8","1.8 %","5.1 %","8.5 %","-2.9 %","42.1 %","35.1 %","139.1 %"
"","Greater Vancouver","$ 1,098,900","381.7","1.5 %","3.7 %","9.0 %","-1.0 %","37.9 %","30.7 %","136.1 %"
"","Burnaby East","$ 863,500","372.2","-1.3 %","2.9 %","2.6 %","-1.2 %","27.1 %","23.8 %","117.5 %"
"","Burnaby North","$ 903,500","371.2","0.1 %","3.9 %","6.7 %","-6.4 %","30.2 %","25.6 %","132.0 %"
"","Burnaby South","$ 997,800","376.2","0.6 %","3.6 %","5.7 %","-3.4 %","28.5 %","19.5 %","126.9 %"
"","Coquitlam","$ 1,074,600","418.9","1.5 %","5.8 %","9.8 %","-1.1 %","41.3 %","38.8 %","172.2 %"
"","Ladner","$ 971,700","388.2","-0.2 %","0.5 %","13.5 %","0.6 %","34.6 %","30.5 %","147.1 %"
"","Maple Ridge","$ 785,000","393.5","2.2 %","7.6 %","10.6 %","-5.4 %","48.2 %","40.8 %","182.9 %"
"","New Westminster","$ 945,100","397.4","0.1 %","0.9 %","7.2 %","-1.7 %","38.1 %","34.7 %","134.2 %"
"","North Vancouver","$ 1,336,600","358.0","2.6 %","-1.4 %","7.9 %","-1.9 %","35.5 %","32.5 %","135.1 %"
"","Pitt Meadows","$ 831,800","406.9","0.7 %","9.6 %","3.3 %","-5.2 %","40.2 %","34.0 %","174.6 %"
"","Port Coquitlam","$ 962,100","386.5","3.6 %","8.0 %","10.8 %","-1.7 %","45.6 %","40.5 %","170.1 %"
"","Port Moody","$ 1,033,100","398.3","-0.8 %","3.3 %","5.8 %","-6.5 %","41.0 %","36.6 %","163.3 %"
"","Richmond","$ 1,121,500","404.7","0.1 %","2.4 %","7.8 %","2.1 %","39.7 %","29.8 %","132.5 %"
"","Squamish","$ 1,055,100","379.3","4.1 %","5.2 %","10.4 %","-1.7 %","49.4 %","40.3 %","202.0 %"
"","Sunshine Coast","$ 757,000","349.5","4.2 %","5.2 %","10.5 %","-0.7 %","55.5 %","46.8 %","178.9 %"
"","Tsawwassen","$ 999,600","295.5","-0.6 %","-1.2 %","10.3 %","-1.4 %","21.3 %","3.2 %","82.2 %"
"","Vancouver East","$ 1,108,900","365.7","0.0 %","1.6 %","7.9 %","-0.8 %","27.1 %","18.3 %","108.5 %"
"","Vancouver West","$ 1,497,000","340.5","2.7 %","5.1 %","12.1 %","1.5 %","27.0 %","15.3 %","101.8 %"
"","Whistler","$ 1,513,400","392.3","3.9 %","4.9 %","10.8 %","-1.1 %","59.0 %","55.9 %","240.5 %"
"Apartment","Lower Mainland","$ 714,400","356.8","1.0 %","4.7 %","8.1 %","-0.2 %","26.7 %","18.1 %","114.8 %"
"","Greater Vancouver","$ 767,000","353.5","0.8 %","4.3 %","7.8 %","0.5 %","23.1 %","16.1 %","112.1 %"
"","Burnaby East","$ 798,600","341.7","1.2 %","2.3 %","6.0 %","-0.2 %","23.5 %","14.8 %","111.6 %"
"","Burnaby North","$ 753,800","375.4","0.1 %","4.2 %","7.7 %","0.7 %","30.9 %","22.6 %","131.6 %"
"","Burnaby South","$ 812,100","389.1","0.8 %","4.2 %","7.7 %","3.0 %","23.4 %","18.4 %","128.2 %"
"","Coquitlam","$ 737,500","418.1","1.9 %","5.1 %","7.3 %","0.6 %","31.5 %","25.4 %","166.6 %"
"","Ladner","$ 719,100","365.8","2.0 %","1.5 %","7.4 %","-2.0 %","48.2 %","46.0 %","138.8 %"
"","Maple Ridge","$ 532,600","372.7","0.1 %","5.4 %","5.5 %","-4.9 %","39.1 %","30.0 %","164.1 %"
"","New Westminster","$ 653,400","398.7","1.0 %","2.9 %","7.5 %","0.3 %","27.7 %","19.5 %","136.8 %"
"","North Vancouver","$ 819,100","329.9","2.0 %","6.4 %","9.1 %","0.7 %","24.0 %","17.4 %","118.3 %"
"","Pitt Meadows","$ 606,800","414.8","0.8 %","6.4 %","6.9 %","-4.1 %","35.8 %","24.5 %","172.0 %"
"","Port Coquitlam","$ 630,200","430.5","0.7 %","2.6 %","5.5 %","-2.4 %","36.2 %","27.2 %","172.8 %"
"","Port Moody","$ 728,000","391.0","1.6 %","3.8 %","7.2 %","-2.4 %","25.2 %","21.9 %","151.4 %"
"","Richmond","$ 739,800","406.5","-1.0 %","2.0 %","8.3 %","0.1 %","28.9 %","22.8 %","128.4 %"
"","Squamish","$ 606,400","359.7","1.6 %","4.6 %","20.1 %","-12.5 %","40.3 %","33.0 %","181.0 %"
"","Sunshine Coast","$ 576,100","328.6","4.2 %","6.6 %","19.9 %","-13.0 %","31.0 %","19.0 %","114.5 %"
"","Tsawwassen","$ 690,700","323.8","1.7 %","1.3 %","7.0 %","-2.5 %","32.7 %","26.9 %","114.2 %"
"","Vancouver East","$ 713,600","411.3","0.9 %","3.9 %","6.2 %","0.5 %","16.7 %","13.6 %","118.7 %"
"","Vancouver West","$ 856,000","326.7","0.7 %","4.5 %","6.9 %","1.6 %","12.7 %","6.8 %","95.2 %"
"","West Vancouver","$ 1,339,700","261.0","3.0 %","10.4 %","11.3 %","6.3 %","31.6 %","2.7 %","84.6 %"
"","Whistler","$ 697,400","300.0","2.2 %","7.5 %","22.4 %","-10.9 %","47.1 %","44.6 %","173.2 %"
