"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","West Vancouver","$ 3,325,400","307.9","1.3 %","2.6 %","8.0 %","0.2 %","18.0 %","13.5 %","61.3 %"
"","Whistler","$ 2,423,200","317.0","-2.1 %","-7.6 %","-3.2 %","-8.4 %","28.0 %","48.8 %","153.2 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
| Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 974,500","371.1","-0.1 %","-0.5 %","2.7 %","5.5 %","39.1 %","40.0 %","138.5 %"
"","Greater Vancouver","$ 1,100,500","382.3","0.2 %","-0.4 %","1.8 %","6.0 %","34.7 %","35.2 %","135.6 %"
"","Burnaby East","$ 905,400","390.3","-0.9 %","2.6 %","7.0 %","9.4 %","28.6 %","28.8 %","131.2 %"
"","Burnaby North","$ 906,100","372.3","-0.6 %","0.4 %","2.1 %","4.7 %","28.6 %","28.9 %","129.5 %"
"","Burnaby South","$ 1,019,100","384.3","-0.3 %","0.1 %","3.6 %","9.0 %","27.2 %","28.1 %","134.0 %"
"","Coquitlam","$ 1,062,900","414.4","-1.1 %","0.1 %","1.4 %","4.8 %","38.0 %","43.2 %","172.3 %"
"","Ladner","$ 1,004,500","401.3","-0.4 %","1.7 %","3.5 %","9.8 %","42.4 %","32.9 %","153.3 %"
"","Maple Ridge","$ 771,300","386.6","-0.5 %","0.3 %","2.8 %","5.7 %","41.1 %","44.3 %","184.1 %"
"","New Westminster","$ 963,700","405.3","-0.8 %","0.7 %","2.7 %","4.0 %","39.5 %","38.1 %","141.0 %"
"","North Vancouver","$ 1,349,100","361.4","2.8 %","-0.7 %","3.0 %","8.5 %","33.8 %","40.4 %","138.1 %"
"","Pitt Meadows","$ 830,100","406.1","1.7 %","-0.8 %","2.6 %","1.8 %","38.7 %","41.1 %","181.6 %"
"","Port Coquitlam","$ 953,100","382.9","0.9 %","-2.3 %","4.8 %","7.0 %","43.1 %","47.0 %","164.4 %"
"","Port Moody","$ 1,047,200","403.7","-0.9 %","1.8 %","1.8 %","3.6 %","38.1 %","43.2 %","168.1 %"
"","Richmond","$ 1,104,800","398.7","-1.9 %","-3.4 %","-0.2 %","5.2 %","35.8 %","31.8 %","126.9 %"
"","Squamish","$ 1,064,400","382.6","3.5 %","2.0 %","2.8 %","7.0 %","42.3 %","39.1 %","199.6 %"
"","Sunshine Coast","$ 768,300","354.7","3.8 %","3.1 %","4.1 %","8.5 %","48.2 %","46.5 %","183.1 %"
"","Tsawwassen","$ 1,014,100","299.8","-1.4 %","0.9 %","1.1 %","5.5 %","27.5 %","3.9 %","81.9 %"
"","Vancouver East","$ 1,118,500","368.9","-1.9 %","-0.7 %","0.8 %","10.1 %","25.1 %","30.1 %","107.8 %"
"","Vancouver West","$ 1,481,000","336.9","1.6 %","-1.0 %","-1.5 %","1.1 %","19.2 %","19.0 %","95.8 %"
"","Whistler","$ 1,545,400","400.6","4.4 %","3.6 %","4.9 %","10.0 %","51.7 %","54.9 %","240.6 %"
"Apartment","Lower Mainland","$ 714,800","357.0","0.2 %","-0.5 %","2.4 %","5.7 %","26.7 %","23.7 %","116.4 %"
"","Greater Vancouver","$ 770,200","354.9","0.2 %","-0.2 %","2.3 %","6.4 %","24.0 %","21.3 %","114.6 %"
"","Burnaby East","$ 807,900","345.7","1.4 %","0.5 %","2.5 %","6.9 %","23.6 %","20.3 %","114.3 %"
"","Burnaby North","$ 753,700","375.3","0.9 %","0.9 %","1.5 %","4.7 %","27.1 %","28.4 %","128.0 %"
"","Burnaby South","$ 820,300","393.1","-0.3 %","-0.2 %","2.9 %","9.0 %","27.4 %","24.6 %","127.0 %"
"","Coquitlam","$ 723,000","409.9","-0.8 %","-2.6 %","0.9 %","3.6 %","28.3 %","26.3 %","163.3 %"
"","Ladner","$ 709,400","360.8","-3.7 %","-1.1 %","1.0 %","-0.7 %","40.2 %","42.9 %","148.1 %"
"","Maple Ridge","$ 531,600","372.0","-2.0 %","0.3 %","1.4 %","1.8 %","37.3 %","38.1 %","166.5 %"
"","New Westminster","$ 658,300","401.6","-0.5 %","0.6 %","2.4 %","6.1 %","25.8 %","24.1 %","139.8 %"
"","North Vancouver","$ 814,300","328.0","0.3 %","0.0 %","1.7 %","5.1 %","21.6 %","22.5 %","122.8 %"
"","Pitt Meadows","$ 606,600","414.6","-1.6 %","-0.3 %","2.3 %","2.8 %","33.6 %","32.9 %","173.3 %"
"","Port Coquitlam","$ 631,100","431.1","0.7 %","-0.9 %","1.7 %","3.8 %","33.6 %","38.1 %","171.3 %"
"","Port Moody","$ 751,700","403.7","3.8 %","3.4 %","6.5 %","7.8 %","31.0 %","31.2 %","162.0 %"
"","Richmond","$ 763,400","419.5","1.8 %","3.1 %","3.1 %","10.2 %","33.1 %","26.4 %","138.5 %"
"","Squamish","$ 629,000","373.1","0.5 %","1.4 %","4.9 %","17.3 %","37.6 %","42.8 %","215.1 %"
"","Sunshine Coast","$ 590,200","336.7","1.8 %","0.7 %","3.9 %","15.8 %","29.0 %","28.3 %","140.7 %"
"","Tsawwassen","$ 677,500","317.6","-4.5 %","-1.9 %","0.1 %","-1.4 %","28.4 %","23.7 %","123.5 %"
"","Vancouver East","$ 715,400","412.3","-0.5 %","-0.3 %","3.0 %","6.2 %","17.3 %","18.5 %","115.2 %"
"","Vancouver West","$ 851,800","325.1","0.2 %","-1.7 %","1.4 %","4.3 %","15.8 %","10.6 %","95.5 %"
"","West Vancouver","$ 1,289,900","251.3","-3.2 %","-4.2 %","2.3 %","8.0 %","11.8 %","7.9 %","83.4 %"
"","Whistler","$ 730,000","314.0","2.3 %","2.6 %","6.5 %","20.5 %","47.6 %","57.6 %","222.1 %"
