"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change % |","1 Year
Change %","3 Year
Change %","5 Year
| Change %","10 Year
Change %"
"","Port Coquitlam","$ 1,408,000","396.6","-2.1 %","-0.7 %","7.0 %","7.1 %","44.1 %","47.3 %","169.4 %"
"","Port Moody","$ 2,082,000","395.2","0.3 %","2.3 %","4.7 %","0.9 %","42.5 %","36.7 %","151.9 %"
"","Richmond","$ 2,179,100","443.5","-0.9 %","-0.1 %","3.5 %","4.5 %","31.0 %","25.5 %","113.2 %"
"","Squamish","$ 1,581,000","386.8","-0.9 %","-3.6 %","2.6 %","-5.6 %","25.7 %","45.4 %","194.8 %"
"","Sunshine Coast","$ 903,500","315.7","1.1 %","0.4 %","2.0 %","-4.3 %","35.9 %","48.5 %","154.8 %"
"","Tsawwassen","$ 1,594,500","352.5","3.0 %","-0.1 %","14.0 %","3.3 %","33.5 %","34.8 %","132.5 %"
"","Vancouver East","$ 1,898,100","422.2","-0.8 %","1.0 %","10.9 %","8.9 %","27.8 %","30.9 %","123.4 %"
"","Vancouver West","$ 3,553,600","369.2","1.0 %","3.9 %","8.6 %","8.0 %","16.7 %","14.2 %","66.7 %"
"","West Vancouver","$ 3,281,800","303.8","0.2 %","1.7 %","7.8 %","0.2 %","17.8 %","12.0 %","58.1 %"
"","Whistler","$ 2,474,900","323.7","0.5 %","-1.4 %","4.6 %","-4.3 %","31.5 %","51.0 %","156.3 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 975,000","371.3","-0.2 %","0.1 %","5.3 %","4.5 %","39.8 %","38.6 %","139.1 %"
"","Greater Vancouver","$ 1,098,400","381.5","-0.5 %","-0.1 %","3.6 %","5.3 %","35.1 %","34.0 %","136.2 %"
"","Burnaby East","$ 913,900","393.9","1.2 %","5.8 %","8.9 %","8.7 %","32.1 %","33.1 %","140.2 %"
"","Burnaby North","$ 911,800","374.6","-0.3 %","0.9 %","4.8 %","3.4 %","32.3 %","27.9 %","131.7 %"
"","Burnaby South","$ 1,022,200","385.4","-1.4 %","2.4 %","6.1 %","7.9 %","32.0 %","28.0 %","137.0 %"
"","Coquitlam","$ 1,075,100","419.1","0.3 %","0.0 %","5.9 %","4.2 %","40.3 %","42.9 %","174.8 %"
"","Ladner","$ 1,008,200","402.8","2.1 %","3.8 %","4.3 %","12.9 %","41.6 %","31.4 %","154.8 %"
"","Maple Ridge","$ 774,800","388.4","1.5 %","-1.3 %","6.2 %","3.6 %","42.3 %","43.1 %","183.1 %"
"","New Westminster","$ 971,900","408.7","1.3 %","2.8 %","3.8 %","6.6 %","40.4 %","36.2 %","144.6 %"
"","North Vancouver","$ 1,313,000","351.7","-0.5 %","-1.8 %","-3.1 %","6.5 %","31.6 %","36.6 %","132.1 %"
"","Pitt Meadows","$ 816,400","399.4","-1.6 %","-1.8 %","7.6 %","0.1 %","38.4 %","32.3 %","170.8 %"
"","Port Coquitlam","$ 944,800","379.6","-0.9 %","-1.8 %","6.1 %","4.0 %","40.8 %","43.8 %","165.8 %"
"","Port Moody","$ 1,056,800","407.4","0.0 %","2.3 %","5.7 %","2.5 %","39.7 %","41.7 %","171.6 %"
"","Richmond","$ 1,126,200","406.4","0.5 %","0.4 %","2.8 %","8.0 %","39.2 %","32.9 %","132.2 %"
"","Squamish","$ 1,028,500","369.7","-3.5 %","-2.5 %","2.5 %","2.0 %","41.6 %","35.0 %","188.4 %"
"","Sunshine Coast","$ 740,000","341.6","-3.5 %","-2.3 %","2.9 %","3.8 %","46.2 %","42.5 %","170.0 %"
"","Tsawwassen","$ 1,028,300","304.0","2.4 %","2.9 %","1.7 %","9.2 %","26.2 %","3.2 %","86.4 %"
"","Vancouver East","$ 1,140,400","376.1","0.4 %","2.8 %","4.5 %","8.0 %","24.8 %","31.3 %","114.8 %"
"","Vancouver West","$ 1,457,900","331.6","-2.7 %","-2.6 %","2.4 %","1.0 %","16.6 %","17.4 %","94.5 %"
"","Whistler","$ 1,480,000","383.6","-3.7 %","-2.2 %","2.6 %","3.5 %","49.9 %","48.5 %","228.1 %"
"Apartment","Lower Mainland","$ 713,600","356.4","-0.4 %","-0.1 %","4.5 %","5.2 %","26.0 %","22.3 %","112.1 %"
"","Greater Vancouver","$ 768,500","354.1","-0.2 %","0.2 %","4.5 %","5.8 %","23.0 %","20.0 %","109.7 %"
"","Burnaby East","$ 796,700","340.9","-0.3 %","-0.2 %","2.0 %","6.1 %","23.2 %","17.4 %","109.0 %"
"","Burnaby North","$ 746,800","371.9","-0.1 %","-0.9 %","3.2 %","4.4 %","26.7 %","25.5 %","124.2 %"
"","Burnaby South","$ 822,900","394.3","-0.1 %","1.3 %","5.6 %","9.5 %","27.7 %","21.5 %","127.9 %"
"","Coquitlam","$ 729,100","413.3","-1.8 %","-1.1 %","3.8 %","4.7 %","28.5 %","27.8 %","157.7 %"
"","Ladner","$ 736,400","374.6","0.6 %","2.4 %","4.0 %","4.0 %","42.3 %","43.5 %","150.1 %"
"","Maple Ridge","$ 542,600","379.7","-0.5 %","1.9 %","7.4 %","1.9 %","40.4 %","37.8 %","164.8 %"
"","New Westminster","$ 661,900","403.8","0.4 %","1.3 %","4.3 %","6.3 %","27.1 %","24.6 %","141.2 %"
"","North Vancouver","$ 811,900","327.0","-0.7 %","-0.9 %","5.4 %","4.0 %","21.8 %","21.2 %","119.3 %"
"","Pitt Meadows","$ 616,200","421.2","-0.6 %","1.5 %","8.1 %","2.9 %","36.4 %","32.5 %","168.8 %"
"","Port Coquitlam","$ 626,600","428.0","0.0 %","-0.6 %","2.0 %","4.1 %","32.8 %","35.0 %","176.1 %"
"","Port Moody","$ 724,200","388.9","-0.7 %","-0.5 %","3.3 %","2.2 %","26.3 %","25.8 %","151.2 %"
"","Richmond","$ 750,200","412.2","0.4 %","1.4 %","3.4 %","7.5 %","29.3 %","27.4 %","131.6 %"
"","Squamish","$ 626,200","371.4","-1.2 %","3.3 %","8.0 %","8.3 %","33.2 %","42.9 %","216.9 %"
"","Sunshine Coast","$ 579,700","330.7","-2.7 %","0.6 %","7.3 %","6.2 %","23.4 %","26.9 %","127.3 %"
"","Tsawwassen","$ 709,600","332.7","1.0 %","2.7 %","4.1 %","4.8 %","29.8 %","25.5 %","125.6 %"
"","Vancouver East","$ 719,100","414.5","-0.6 %","0.8 %","4.7 %","5.4 %","16.9 %","15.8 %","115.1 %"
"","Vancouver West","$ 849,800","324.4","0.3 %","-0.7 %","3.7 %","4.7 %","14.3 %","9.1 %","88.7 %"
"","West Vancouver","$ 1,331,600","259.5","-1.9 %","-0.6 %","9.8 %","11.5 %","19.5 %","11.3 %","76.9 %"
"","Whistler","$ 713,400","306.8","-2.1 %","2.3 %","10.0 %","11.7 %","40.2 %","52.6 %","216.0 %"
