"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","Richmond","$ 2,181,700","444.1","0.0 %","1.9 %","10.9 %","2.2 %","34.9 %","22.3 %","113.0 %"
"","Squamish","$ 1,684,100","412.1","2.7 %","5.5 %","14.5 %","-6.4 %","39.1 %","53.7 %","219.7 %"
"","Sunshine Coast","$ 929,900","324.9","3.3 %","4.8 %","4.4 %","-6.4 %","48.4 %","54.0 %","161.8 %"
"","Tsawwassen","$ 1,560,700","345.0","-2.2 %","0.8 %","12.2 %","-2.4 %","33.9 %","29.7 %","124.3 %"
"","Vancouver East","$ 1,897,200","422.0","0.9 %","6.6 %","13.7 %","3.7 %","28.9 %","28.4 %","122.1 %"
"","Vancouver West","$ 3,458,000","359.3","1.2 %","4.1 %","10.0 %","1.0 %","14.0 %","7.7 %","62.7 %"
"","West Vancouver","$ 3,241,600","300.1","0.5 %","5.2 %","6.3 %","-4.2 %","20.6 %","6.0 %","61.8 %"
"","Whistler","$ 2,623,200","343.1","4.5 %","4.7 %","14.6 %","-6.5 %","44.8 %","58.1 %","173.4 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 979,100","372.8","0.5 %","3.2 %","8.9 %","-0.5 %","41.4 %","36.3 %","140.1 %"
"","Greater Vancouver","$ 1,104,600","383.7","0.5 %","2.2 %","8.0 %","1.2 %","36.9 %","32.0 %","137.6 %"
"","Burnaby East","$ 882,800","380.5","2.2 %","4.3 %","3.1 %","-1.0 %","28.3 %","29.2 %","124.7 %"
"","Burnaby North","$ 902,500","370.8","-0.1 %","1.7 %","4.0 %","-2.7 %","30.0 %","24.8 %","133.2 %"
"","Burnaby South","$ 1,018,000","383.9","2.0 %","3.5 %","4.7 %","3.5 %","29.9 %","24.4 %","134.9 %"
"","Coquitlam","$ 1,061,900","414.0","-1.2 %","1.3 %","7.4 %","-1.7 %","39.7 %","36.9 %","168.8 %"
"","Ladner","$ 987,500","394.5","1.6 %","1.7 %","9.1 %","4.1 %","38.3 %","30.5 %","150.8 %"
"","Maple Ridge","$ 769,300","385.6","-2.0 %","2.5 %","9.5 %","-2.6 %","42.7 %","39.7 %","176.8 %"
"","New Westminster","$ 957,300","402.6","1.3 %","2.1 %","6.3 %","0.3 %","40.2 %","35.3 %","139.2 %"
"","North Vancouver","$ 1,359,100","364.1","1.7 %","3.8 %","4.4 %","0.6 %","37.4 %","36.8 %","140.6 %"
"","Pitt Meadows","$ 836,600","409.3","0.6 %","3.4 %","10.3 %","-1.8 %","41.2 %","33.4 %","175.1 %"
"","Port Coquitlam","$ 975,300","391.8","1.4 %","7.3 %","12.5 %","6.8 %","47.2 %","45.1 %","174.9 %"
"","Port Moody","$ 1,028,900","396.6","-0.4 %","0.0 %","2.9 %","-7.5 %","39.1 %","37.3 %","161.8 %"
"","Richmond","$ 1,143,200","412.6","2.0 %","3.3 %","7.3 %","6.8 %","40.8 %","32.2 %","137.3 %"
"","Squamish","$ 1,043,200","375.0","-1.1 %","0.7 %","6.5 %","-3.7 %","41.7 %","39.1 %","196.7 %"
"","Sunshine Coast","$ 745,500","344.2","-1.5 %","1.0 %","6.4 %","-2.5 %","44.8 %","45.5 %","177.1 %"
"","Tsawwassen","$ 1,004,800","297.0","0.5 %","0.1 %","5.8 %","0.5 %","23.2 %","2.1 %","84.7 %"
"","Vancouver East","$ 1,126,300","371.5","1.6 %","1.6 %","10.5 %","-0.8 %","28.3 %","23.1 %","111.8 %"
"","Vancouver West","$ 1,496,600","340.4","0.0 %","-0.5 %","12.8 %","3.2 %","23.1 %","15.5 %","100.9 %"
"","Whistler","$ 1,491,900","386.7","-1.4 %","1.2 %","7.3 %","-2.6 %","50.1 %","53.5 %","235.4 %"
"Apartment","Lower Mainland","$ 718,600","358.9","0.6 %","2.9 %","7.5 %","2.1 %","28.1 %","19.3 %","115.0 %"
"","Greater Vancouver","$ 771,600","355.6","0.6 %","2.5 %","7.1 %","2.6 %","24.8 %","16.9 %","112.2 %"
"","Burnaby East","$ 803,700","343.9","0.6 %","1.9 %","8.2 %","0.7 %","24.4 %","15.5 %","109.4 %"
"","Burnaby North","$ 747,100","372.1","-0.9 %","0.7 %","6.2 %","0.6 %","29.3 %","21.1 %","126.1 %"
"","Burnaby South","$ 822,200","394.0","1.3 %","3.1 %","7.9 %","5.5 %","28.4 %","19.8 %","129.2 %"
"","Coquitlam","$ 742,200","420.7","0.6 %","3.6 %","6.8 %","4.0 %","31.8 %","27.2 %","162.3 %"
"","Ladner","$ 717,400","364.9","-0.2 %","2.2 %","2.7 %","2.0 %","46.5 %","46.3 %","141.3 %"
"","Maple Ridge","$ 530,100","371.0","-0.5 %","1.1 %","6.1 %","-4.3 %","37.9 %","31.0 %","166.9 %"
"","New Westminster","$ 654,600","399.4","0.2 %","1.8 %","7.0 %","0.8 %","26.4 %","19.9 %","136.6 %"
"","North Vancouver","$ 814,400","328.0","-0.6 %","1.7 %","8.5 %","2.1 %","23.9 %","17.8 %","122.4 %"
"","Pitt Meadows","$ 608,100","415.7","0.2 %","2.6 %","7.9 %","-2.9 %","36.1 %","26.9 %","174.8 %"
"","Port Coquitlam","$ 637,100","435.2","1.1 %","2.6 %","5.8 %","2.1 %","36.6 %","30.2 %","178.4 %"
"","Port Moody","$ 726,700","390.3","-0.2 %","2.9 %","4.5 %","0.3 %","25.1 %","23.2 %","153.9 %"
"","Richmond","$ 740,800","407.0","0.1 %","0.0 %","3.4 %","3.2 %","29.2 %","21.3 %","125.6 %"
"","Squamish","$ 620,600","368.1","2.3 %","3.5 %","8.8 %","-8.2 %","43.8 %","34.3 %","191.9 %"
"","Sunshine Coast","$ 586,300","334.5","1.8 %","3.2 %","10.4 %","-10.5 %","34.9 %","18.1 %","120.6 %"
"","Tsawwassen","$ 690,600","323.8","0.0 %","2.0 %","3.4 %","1.2 %","33.1 %","27.3 %","117.2 %"
"","Vancouver East","$ 717,700","413.7","0.6 %","3.4 %","6.9 %","0.5 %","18.8 %","14.8 %","119.0 %"
"","Vancouver West","$ 866,300","330.6","1.2 %","3.2 %","8.0 %","3.9 %","16.0 %","7.8 %","95.4 %"
"","West Vancouver","$ 1,346,000","262.3","0.5 %","6.8 %","11.9 %","7.9 %","29.7 %","5.3 %","81.0 %"
"","Whistler","$ 711,500","306.0","2.0 %","3.8 %","11.1 %","-6.5 %","53.3 %","45.6 %","187.1 %"
