Vancouver — Median Rent by Bedroom Type by Neighbourhood
October 2022 Row / Apartment
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
North Vancouver DM West,"1,446",a ,"1,830",b ,"3,450",d ,"3,700",b ,"2,045",b ,
Pitt Meadows,**,,"1,650",a ,"1,600",a ,"1,900",a ,"1,650",a ,
Point Grey,**,,"1,550",d ,**,,**,,"1,550",d ,
Port Coquitlam,779,d ,"1,400",a ,"2,025",a ,**,,"1,925",b ,
Port Moody,**,,"1,763",c ,"2,213",d ,"2,100",c ,"1,903",c ,
Renfrew,**,,**,,**,,**,,**,,
Richmond City Centre,"1,335",b ,"1,311",b ,"1,700",a ,"2,283",a ,"1,500",b ,
Richmond East,**,,**,,"1,900",d ,**,,"2,100",d ,
Richmond South,"1,350",a ,"1,500",b ,"1,726",c ,"2,500",a ,"1,500",a ,
Richmond West,**,,"1,600",a ,"1,893",a ,"2,070",a ,"1,700",a ,
Riley Park,978,d ,"1,475",b ,"2,300",c ,**,,"1,618",c ,
South Cambie,"1,265",c ,"1,475",a ,"1,953",b ,**,,"1,502",b ,
South False Creek,"1,738",b ,"2,125",b ,**,,**,,"2,125",c ,
South Granville,"1,243",a ,"1,573",a ,"2,034",a ,"2,395",b ,"1,560",a ,
South Surrey,**,,"1,115",a ,"1,405",a ,**,,"1,288",a ,
Southeast Burnaby South,**,,"1,215",b ,"1,800",c ,**,,"1,313",c ,
Sunset,"1,325",c ,"1,500",d ,**,,**,,"1,650",c ,
Surrey City Centre,**,,"1,700",a ,"1,800",c ,**,,"1,700",a ,
Tsawwassen,863,b ,"1,228",a ,"1,589",a ,**,,"1,258",a ,
University Endowment Lands,"1,647",a ,"1,920",a ,"2,750",a ,"3,500",a ,"2,248",a ,
University/Lougheed,"1,179",a ,"1,575",a ,"1,970",a ,"1,979",a ,"1,750",a ,
Uptown,"1,100",b ,"1,217",a ,"1,456",a ,"1,850",b ,"1,300",a ,
West End/Stanley Park North,"1,400",b ,"1,600",b ,"2,375",b ,"3,145",d ,"1,700",b ,
West End/Stanley Park South,"1,316",a ,"1,650",a ,"2,385",b ,**,,"1,600",a ,
Westside Heights,"1,193",c ,"1,350",b ,"1,500",b ,"2,900",c ,"1,400",b ,
Westside/Kerrisdale Remainder,"2,350",d ,"1,900",a ,"2,850",a ,"4,800",a ,"2,334",a ,
Whalley,**,,"1,600",c ,"1,550",b ,"1,895",a ,"1,600",b ,
White Rock,975,a ,"1,125",a ,"1,413",b ,"3,200",c ,"1,179",a ,
Vancouver,"1,345",a ,"1,500",a ,"1,900",a ,"2,100",a ,"1,575",a ,

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
"CMA, CA and CSD definitions are based on 2021 Census Geography Definitions"
Source,CMHC Rental Market Survey
