"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","Coquitlam","$ 1,755,500","406.5","1.6 %","4.3 %","3.2 %","-8.7 %","39.4 %","30.7 %","148.9 %"
"","Ladner","$ 1,394,600","337.5","3.5 %","12.7 %","7.8 %","-9.3 %","42.7 %","33.7 %","120.9 %"
"","Maple Ridge","$ 1,261,700","368.5","2.9 %","7.6 %","6.4 %","-12.4 %","45.3 %","43.3 %","170.4 %"
"","New Westminster","$ 1,525,800","377.8","4.8 %","5.7 %","5.2 %","-5.1 %","34.2 %","27.2 %","122.1 %"
"","North Vancouver","$ 2,269,400","352.2","3.1 %","7.1 %","6.4 %","-4.2 %","33.4 %","24.5 %","117.7 %"
"","Pitt Meadows","$ 1,274,800","383.4","6.5 %","11.3 %","10.0 %","-11.6 %","43.4 %","37.8 %","164.6 %"
"","Port Coquitlam","$ 1,392,100","392.1","2.8 %","6.8 %","8.5 %","-8.3 %","50.1 %","38.7 %","168.4 %"
"","Port Moody","$ 2,007,600","381.1","0.5 %","1.2 %","1.9 %","-9.7 %","37.0 %","31.4 %","154.7 %"
"","Richmond","$ 2,189,600","445.7","2.2 %","6.6 %","7.5 %","0.3 %","35.1 %","21.5 %","113.6 %"
"","Squamish","$ 1,647,000","403.0","3.2 %","9.6 %","1.0 %","-9.5 %","40.9 %","46.4 %","216.1 %"
"","Sunshine Coast","$ 862,000","301.2","-2.9 %","-0.7 %","-2.9 %","-17.3 %","43.8 %","41.4 %","144.9 %"
"","Tsawwassen","$ 1,553,500","343.4","0.4 %","16.3 %","5.9 %","-10.7 %","38.9 %","29.0 %","125.6 %"
"","Vancouver East","$ 1,822,700","405.4","2.5 %","7.6 %","6.2 %","-6.4 %","27.9 %","20.6 %","115.0 %"
"","Vancouver West","$ 3,338,800","346.9","0.5 %","2.3 %","5.7 %","-5.2 %","9.6 %","2.8 %","59.4 %"
"","West Vancouver","$ 3,111,600","288.1","1.0 %","4.5 %","-0.7 %","-10.6 %","19.4 %","2.3 %","56.4 %"
"","Whistler","$ 2,519,200","329.5","0.6 %","9.7 %","-0.7 %","-10.3 %","43.3 %","51.1 %","166.2 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 956,000","364.1","0.7 %","4.4 %","5.0 %","-7.0 %","39.9 %","32.3 %","134.1 %"
"","Greater Vancouver","$ 1,083,000","376.2","0.2 %","3.1 %","5.9 %","-4.7 %","36.2 %","28.6 %","132.1 %"
"","Burnaby East","$ 874,600","377.0","3.4 %","2.4 %","3.7 %","-1.3 %","26.7 %","24.8 %","122.6 %"
"","Burnaby North","$ 902,200","370.7","1.7 %","2.8 %","6.5 %","-6.7 %","32.2 %","26.4 %","130.4 %"
"","Burnaby South","$ 992,000","374.1","0.9 %","1.4 %","5.6 %","-6.1 %","29.1 %","21.2 %","127.3 %"
"","Coquitlam","$ 1,058,700","412.7","1.0 %","4.2 %","6.5 %","-5.5 %","39.0 %","35.0 %","169.4 %"
"","Ladner","$ 973,800","389.1","0.3 %","1.9 %","10.4 %","-0.8 %","41.2 %","28.9 %","147.5 %"
"","Maple Ridge","$ 768,100","385.0","2.4 %","6.3 %","5.6 %","-10.2 %","42.8 %","35.7 %","176.8 %"
"","New Westminster","$ 944,600","397.2","0.7 %","1.0 %","4.8 %","-2.6 %","43.8 %","32.5 %","134.1 %"
"","North Vancouver","$ 1,302,200","348.8","-0.6 %","-4.5 %","4.3 %","-7.8 %","33.3 %","29.3 %","127.4 %"
"","Pitt Meadows","$ 826,000","404.1","2.0 %","8.3 %","-1.3 %","-10.2 %","39.3 %","31.1 %","171.2 %"
"","Port Coquitlam","$ 928,900","373.2","2.2 %","5.1 %","7.1 %","-8.7 %","41.0 %","36.0 %","161.3 %"
"","Port Moody","$ 1,042,100","401.7","1.3 %","5.4 %","5.3 %","-7.8 %","43.2 %","38.3 %","166.4 %"
"","Richmond","$ 1,119,900","404.2","1.2 %","3.6 %","7.8 %","0.2 %","41.3 %","30.8 %","132.2 %"
"","Squamish","$ 1,014,100","364.5","-2.1 %","1.5 %","5.8 %","-6.7 %","46.2 %","34.5 %","187.0 %"
"","Sunshine Coast","$ 726,200","335.3","-1.6 %","0.9 %","6.9 %","-5.4 %","51.5 %","43.4 %","167.8 %"
"","Tsawwassen","$ 1,005,700","297.3","0.2 %","0.3 %","7.6 %","-3.2 %","27.0 %","2.4 %","84.4 %"
"","Vancouver East","$ 1,109,100","365.8","0.0 %","5.1 %","6.6 %","-2.1 %","24.4 %","18.3 %","108.9 %"
"","Vancouver West","$ 1,457,500","331.6","-3.0 %","4.8 %","2.7 %","-4.1 %","21.6 %","10.9 %","95.9 %"
"","Whistler","$ 1,455,900","377.4","-1.2 %","2.7 %","9.0 %","-5.9 %","55.6 %","50.4 %","222.8 %"
"Apartment","Lower Mainland","$ 707,300","353.3","1.3 %","4.6 %","5.7 %","-2.9 %","25.2 %","16.4 %","113.1 %"
"","Greater Vancouver","$ 760,800","350.6","1.1 %","4.2 %","5.9 %","-2.0 %","21.6 %","14.7 %","110.3 %"
"","Burnaby East","$ 789,000","337.6","0.1 %","5.8 %","3.4 %","-4.0 %","22.0 %","12.1 %","110.6 %"
"","Burnaby North","$ 753,200","375.1","1.5 %","5.0 %","5.8 %","-0.7 %","29.9 %","23.1 %","129.3 %"
"","Burnaby South","$ 805,800","386.1","1.0 %","4.4 %","7.0 %","-0.4 %","20.8 %","18.1 %","128.2 %"
"","Coquitlam","$ 723,800","410.3","1.0 %","4.5 %","4.4 %","-3.6 %","26.4 %","22.6 %","161.8 %"
"","Ladner","$ 704,800","358.5","0.4 %","1.8 %","1.8 %","-5.4 %","45.9 %","41.1 %","141.7 %"
"","Maple Ridge","$ 532,200","372.4","1.5 %","6.2 %","3.4 %","-6.7 %","35.6 %","30.2 %","164.9 %"
"","New Westminster","$ 647,200","394.9","0.7 %","3.5 %","4.9 %","-1.6 %","25.6 %","16.9 %","132.8 %"
"","North Vancouver","$ 802,700","323.3","0.2 %","4.9 %","5.3 %","-4.0 %","22.8 %","14.5 %","111.6 %"
"","Pitt Meadows","$ 601,900","411.4","1.5 %","6.7 %","4.0 %","-6.6 %","31.6 %","24.4 %","171.0 %"
"","Port Coquitlam","$ 625,600","427.3","0.8 %","2.9 %","3.5 %","-3.9 %","35.5 %","24.7 %","171.0 %"
"","Port Moody","$ 716,300","384.7","1.5 %","2.9 %","3.2 %","-5.1 %","20.7 %","16.5 %","143.0 %"
"","Richmond","$ 747,000","410.4","0.8 %","2.5 %","9.6 %","2.0 %","28.3 %","22.8 %","129.1 %"
"","Squamish","$ 597,100","354.2","-0.4 %","2.2 %","14.9 %","-8.2 %","40.7 %","40.5 %","180.4 %"
"","Sunshine Coast","$ 553,000","315.5","-2.6 %","0.0 %","12.8 %","-12.2 %","27.0 %","18.8 %","115.1 %"
"","Tsawwassen","$ 679,000","318.3","0.3 %","2.2 %","2.5 %","-5.7 %","29.3 %","23.7 %","118.0 %"
"","Vancouver East","$ 707,400","407.7","1.9 %","4.3 %","4.3 %","-1.7 %","15.2 %","10.9 %","116.2 %"
"","Vancouver West","$ 849,800","324.4","1.2 %","4.8 %","5.4 %","-2.7 %","12.4 %","5.7 %","94.5 %"
"","West Vancouver","$ 1,300,300","253.4","3.2 %","0.8 %","3.7 %","2.1 %","24.6 %","0.8 %","80.0 %"
"","Whistler","$ 682,600","293.6","-0.4 %","4.5 %","16.7 %","-7.9 %","47.5 %","49.8 %","170.8 %"
