review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price,room_type
4.74,4.92,4.6,4.8,4.92,4.71,4.72,86,Private room
4.45,4.55,4.45,5.0,4.73,5.0,4.64,73,Entire home/apt
4.85,4.84,4.63,4.94,4.92,4.92,4.72,780,Entire home/apt
4.55,4.51,4.26,4.75,4.72,4.82,4.56,95,Private room
4.72,4.88,4.91,4.92,4.88,4.53,4.73,150,Entire home/apt
4.91,4.92,4.99,4.99,4.99,4.74,4.92,97,Entire home/apt
4.85,4.89,4.79,4.89,4.98,4.73,4.88,196,Entire home/apt
4.86,4.82,4.93,4.97,4.96,4.9,4.79,210,Entire home/apt
4.85,4.84,4.89,4.9,4.94,4.91,4.86,150,Entire home/apt
4.92,4.92,4.92,4.92,4.92,5.0,4.92,520,Entire home/apt
4.86,4.89,4.93,4.91,4.95,4.98,4.81,323,Private room
4.88,4.9,4.8,4.95,4.98,4.95,4.88,150,Entire home/apt
4.29,4.86,4.71,5.0,4.57,4.57,4.57,399,Entire home/apt
4.86,5.0,4.71,5.0,4.86,5.0,4.29,83,Entire home/apt
4.7,4.85,4.46,4.91,4.93,4.52,4.78,95,Entire home/apt
4.49,4.63,4.5,4.83,4.76,4.87,4.56,95,Private room
4.76,4.72,4.63,4.75,4.81,4.85,4.78,97,Entire home/apt
4.72,4.78,4.83,5.0,5.0,4.94,4.72,160,Entire home/apt
4.89,4.94,4.9,4.85,4.91,4.9,4.82,267,Entire home/apt
4.94,4.94,4.76,5.0,5.0,4.88,4.65,250,Entire home/apt
5.0,4.0,5.0,5.0,5.0,5.0,5.0,265,Entire home/apt
4.77,4.85,4.77,4.92,4.92,4.92,4.62,450,Entire home/apt
4.8,5.0,4.6,5.0,5.0,5.0,4.6,132,Entire home/apt
4.72,4.83,4.79,4.93,4.93,4.78,4.78,81,Private room
4.47,4.44,4.06,4.94,4.88,4.94,3.94,80,Entire home/apt
4.88,4.9,4.96,4.97,4.95,4.83,4.78,191,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,4.5,125,Entire home/apt
4.66,4.7,4.69,4.91,4.87,4.79,4.73,94,Entire home/apt
4.82,4.78,4.92,4.97,4.99,4.9,4.81,73,Entire home/apt
5.0,5.0,4.8,5.0,5.0,5.0,4.6,250,Entire home/apt
4.33,5.0,4.67,5.0,4.67,4.67,4.33,160,Entire home/apt
4.92,4.96,4.96,4.98,4.97,4.88,4.9,171,Entire home/apt
4.87,4.85,4.85,4.79,4.96,4.85,4.78,287,Entire home/apt
4.91,4.92,4.95,4.96,4.95,4.65,4.84,139,Private room
4.9,4.96,4.96,4.94,4.96,4.89,4.83,93,Entire home/apt
4.94,4.89,4.89,5.0,4.94,5.0,4.82,396,Entire home/apt
4.9,4.96,4.96,4.98,4.99,4.73,4.88,150,Entire home/apt
4.81,4.83,4.58,4.89,4.92,4.81,4.81,315,Entire home/apt
4.75,4.0,5.0,4.5,5.0,5.0,4.25,90,Entire home/apt
4.75,4.8,4.77,4.91,5.0,4.37,4.63,79,Entire home/apt
4.64,4.91,4.27,5.0,5.0,4.91,4.73,97,Entire home/apt
0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100,Entire home/apt
4.55,4.69,4.51,4.58,4.64,4.89,4.5,204,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,200,Entire home/apt
4.62,4.73,4.5,4.89,4.9,4.94,4.73,110,Private room
5.0,4.5,5.0,5.0,5.0,5.0,4.5,130,Entire home/apt
4.91,4.91,4.93,5.0,5.0,4.98,4.64,575,Entire home/apt
4.67,4.67,4.83,4.67,5.0,5.0,4.83,99,Entire home/apt
4.96,4.94,4.98,4.98,5.0,4.96,4.89,150,Entire home/apt
4.9,4.9,4.88,4.93,4.93,4.9,4.76,140,Entire home/apt
4.43,4.57,4.57,4.86,4.86,4.71,4.71,219,Entire home/apt
4.47,4.63,4.52,4.64,4.62,4.86,4.45,110,Entire home/apt
4.84,4.84,4.95,4.98,4.93,4.76,4.85,85,Private room
4.74,4.87,4.74,4.93,4.78,4.89,4.74,150,Entire home/apt
4.76,4.97,5.0,4.83,4.71,4.8,4.8,75,Private room
4.82,4.84,4.81,4.89,4.92,4.85,4.72,78,Private room
4.93,4.93,5.0,4.86,4.86,4.93,5.0,175,Entire home/apt
4.73,4.85,4.69,4.85,4.92,4.95,4.66,175,Entire home/apt
4.86,4.83,4.88,4.91,4.94,5.0,4.68,300,Entire home/apt
4.94,4.91,4.96,4.99,4.99,4.96,4.9,115,Entire home/apt
4.97,5.0,4.98,5.0,4.98,5.0,4.94,110,Entire home/apt
4.8,4.85,4.8,4.95,4.85,4.92,4.69,150,Entire home/apt
5.0,5.0,4.91,5.0,5.0,4.95,4.77,964,Entire home/apt
4.67,4.8,4.92,4.88,4.83,4.69,4.75,95,Entire home/apt
4.84,4.84,4.89,4.94,4.92,4.92,4.86,150,Entire home/apt
4.97,4.96,4.98,4.98,4.99,4.82,4.9,160,Entire home/apt
4.79,4.78,4.56,4.94,5.0,5.0,4.94,260,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,133,Entire home/apt
4.94,5.0,4.92,4.94,4.96,4.77,4.81,90,Entire home/apt
4.82,4.84,4.93,4.8,4.91,4.71,4.8,205,Entire home/apt
4.86,5.0,5.0,5.0,5.0,5.0,4.57,106,Entire home/apt
4.92,4.94,4.95,4.96,4.97,4.93,4.88,112,Entire home/apt
4.61,4.74,4.58,4.86,4.85,4.66,4.68,150,Private room
4.86,5.0,4.86,4.95,5.0,4.68,4.64,113,Entire home/apt
4.71,4.73,4.76,4.71,4.8,4.85,4.58,255,Entire home/apt
4.53,4.63,4.42,4.89,4.58,4.89,4.37,103,Entire home/apt
4.77,4.85,4.85,5.0,4.85,4.83,4.83,120,Entire home/apt
4.95,4.96,4.98,4.96,4.94,5.0,4.8,450,Entire home/apt
4.45,4.56,4.18,4.71,4.71,4.74,4.43,55,Private room
4.92,5.0,4.83,4.92,5.0,4.83,4.92,124,Entire home/apt
4.93,4.95,4.94,4.96,4.96,4.96,4.72,280,Entire home/apt
4.86,4.91,4.92,4.81,4.8,4.94,4.77,473,Entire home/apt
4.92,4.92,4.88,5.0,4.97,4.93,4.79,297,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,60,Entire home/apt
5.0,5.0,4.5,5.0,5.0,5.0,5.0,132,Entire home/apt
4.95,4.97,4.96,4.92,4.93,4.69,4.86,231,Entire home/apt
4.17,4.16,4.0,4.55,4.39,4.63,4.18,64,Private room
4.64,4.76,4.62,4.69,4.75,4.92,4.6,90,Entire home/apt
4.79,4.86,4.86,4.91,4.9,4.95,4.81,168,Private room
4.91,5.0,4.82,5.0,4.91,4.82,4.73,240,Entire home/apt
4.8,4.4,4.8,5.0,4.8,5.0,4.0,96,Entire home/apt
5.0,5.0,4.86,5.0,5.0,5.0,5.0,98,Entire home/apt
4.88,5.0,5.0,5.0,5.0,5.0,4.88,179,Entire home/apt
5.0,5.0,5.0,5.0,5.0,4.5,5.0,225,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,119,Entire home/apt
5.0,5.0,4.89,4.95,5.0,5.0,4.95,425,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,4.5,115,Entire home/apt
5.0,4.8,4.8,5.0,4.6,5.0,4.8,104,Entire home/apt
4.82,4.89,4.6,4.86,4.89,4.85,4.61,299,Entire home/apt
4.57,4.73,4.38,4.79,4.78,4.95,4.67,200,Entire home/apt
4.65,4.81,4.6,4.81,4.77,4.56,4.67,50,Private room
4.9,4.95,4.95,4.89,4.9,4.96,4.76,173,Entire home/apt
4.73,4.73,4.71,4.93,4.96,4.64,4.46,305,Entire home/apt
4.96,4.94,4.94,5.0,5.0,4.87,4.8,400,Entire home/apt
4.61,4.78,4.61,4.73,4.84,4.67,4.65,40,Private room
4.87,4.91,4.96,4.98,4.94,4.94,4.87,120,Entire home/apt
5.0,5.0,4.83,4.83,5.0,5.0,4.67,104,Entire home/apt
4.67,4.67,4.33,5.0,5.0,5.0,4.67,104,Entire home/apt
4.94,4.96,4.91,4.99,4.98,4.93,4.91,172,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,83,Entire home/apt
4.4,4.2,4.0,4.8,5.0,4.8,3.5,457,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,83,Entire home/apt
4.5,4.75,4.5,4.75,4.75,4.25,4.25,385,Entire home/apt
4.83,4.88,4.67,4.97,4.97,4.81,4.83,79,Entire home/apt
5.0,4.87,4.93,4.93,5.0,4.93,4.87,137,Entire home/apt
4.54,4.67,4.38,4.84,4.88,4.9,4.38,364,Entire home/apt
4.86,4.86,4.86,5.0,5.0,5.0,5.0,760,Entire home/apt
5.0,4.88,4.88,5.0,5.0,5.0,4.88,300,Entire home/apt
4.68,4.9,4.56,4.9,4.91,4.92,4.71,125,Entire home/apt
4.63,4.75,4.81,4.88,4.63,4.94,4.56,229,Entire home/apt
5.0,4.0,4.75,5.0,5.0,4.75,5.0,50,Private room
4.76,4.82,4.89,4.85,4.73,4.91,4.76,499,Entire home/apt
4.52,4.74,4.85,4.78,4.74,4.93,4.63,73,Private room
4.76,4.87,4.92,4.9,4.86,4.88,4.67,136,Private room
4.84,4.94,4.86,4.93,4.91,4.6,4.81,99,Private room
4.76,4.95,4.83,4.96,4.96,4.65,4.75,140,Entire home/apt
4.74,4.69,4.73,4.94,4.83,4.76,4.66,646,Entire home/apt
4.92,4.97,4.97,4.98,4.97,4.95,4.88,129,Entire home/apt
4.29,4.46,4.71,4.75,4.42,4.83,4.33,140,Private room
4.76,4.76,4.81,4.94,4.92,4.88,4.79,139,Entire home/apt
4.97,4.98,4.93,4.91,5.0,4.9,4.95,117,Entire home/apt
4.71,4.72,4.64,4.91,4.9,4.89,4.68,275,Entire home/apt
4.41,4.69,4.19,4.71,4.78,4.66,4.29,180,Entire home/apt
4.77,4.86,4.88,4.77,4.76,4.88,4.75,275,Private room
4.83,4.68,4.89,4.98,4.98,4.78,4.86,199,Entire home/apt
5.0,5.0,4.5,5.0,5.0,5.0,4.5,96,Entire home/apt
4.93,4.95,4.98,4.98,4.97,4.84,4.94,85,Private room
4.79,4.88,4.89,4.95,4.91,4.92,4.81,120,Entire home/apt
4.85,4.81,4.82,4.93,4.89,4.93,4.71,171,Entire home/apt
4.98,4.98,5.0,4.99,4.98,4.97,4.98,115,Private room
4.62,4.81,4.53,4.82,4.96,4.9,4.6,178,Entire home/apt
4.92,4.95,4.97,4.92,4.98,4.95,4.86,98,Entire home/apt
4.83,5.0,4.75,4.83,5.0,5.0,4.5,87,Entire home/apt
4.96,4.97,4.97,4.97,4.98,4.93,4.89,349,Entire home/apt
4.66,4.81,4.76,4.8,4.72,4.92,4.68,120,Entire home/apt
4.71,4.67,4.8,4.66,4.57,4.89,4.71,204,Entire home/apt
4.79,4.87,4.84,4.92,4.98,4.93,4.81,157,Private room
4.39,4.44,4.67,4.56,4.61,4.72,4.44,169,Entire home/apt
4.67,4.76,4.61,4.86,4.91,4.8,4.7,191,Entire home/apt
4.84,4.91,4.62,4.95,4.94,4.81,4.75,203,Entire home/apt
4.57,4.66,4.66,4.57,4.51,4.54,4.34,157,Private room
4.98,4.96,4.94,4.94,5.0,4.96,4.96,122,Private room
4.84,4.89,4.79,4.84,4.92,4.98,4.73,128,Entire home/apt
4.87,4.9,4.93,4.93,4.96,4.34,4.72,346,Entire home/apt
4.91,4.95,4.81,4.98,4.91,4.79,4.86,127,Entire home/apt
4.58,4.65,4.64,4.8,4.86,4.89,4.58,83,Entire home/apt
4.95,4.9,4.9,5.0,5.0,4.95,4.7,200,Entire home/apt
4.86,4.9,4.94,4.99,4.98,4.95,4.85,141,Entire home/apt
4.97,4.97,4.91,4.98,4.99,4.93,4.9,167,Private room
4.87,4.92,4.76,4.95,5.0,4.74,4.68,156,Entire home/apt
4.82,4.87,4.9,4.95,4.91,4.81,4.86,70,Private room
5.0,4.92,4.92,5.0,5.0,5.0,4.67,495,Entire home/apt
4.9,4.9,4.87,4.9,4.94,4.94,4.84,140,Entire home/apt
4.81,4.95,4.84,4.93,4.94,4.75,4.78,200,Entire home/apt
4.88,4.96,4.96,4.88,5.0,5.0,4.64,675,Entire home/apt
4.85,4.89,4.8,4.95,4.94,4.95,4.84,155,Entire home/apt
4.92,4.92,4.92,4.92,4.92,4.92,4.92,500,Entire home/apt
4.75,4.85,4.84,4.94,4.96,4.86,4.71,156,Entire home/apt
4.88,4.9,4.96,4.9,4.94,4.94,4.9,225,Private room
4.76,4.88,4.64,4.95,4.95,4.84,4.77,152,Private room
5.0,4.93,4.87,4.93,5.0,4.87,5.0,100,Entire home/apt
5.0,5.0,4.56,5.0,5.0,4.78,4.67,110,Entire home/apt
4.74,4.88,4.84,4.94,4.81,4.94,4.8,111,Entire home/apt
4.88,4.91,4.85,4.81,4.89,4.86,4.79,250,Entire home/apt
4.67,5.0,4.67,5.0,5.0,5.0,4.67,174,Entire home/apt
4.8,4.8,5.0,5.0,4.6,4.6,4.4,65,Private room
4.5,5.0,5.0,4.5,4.5,3.5,4.0,65,Private room
4.82,4.82,4.91,4.91,4.82,4.82,4.82,150,Entire home/apt
4.96,4.97,4.88,4.96,4.89,4.99,4.83,516,Entire home/apt
4.91,4.95,4.95,4.94,4.92,4.8,4.88,85,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,350,Entire home/apt
4.59,4.71,4.37,4.56,4.58,4.71,4.56,104,Private room
4.92,4.97,4.97,4.99,4.99,4.83,4.93,125,Entire home/apt
4.85,4.8,4.85,5.0,5.0,4.95,4.8,425,Entire home/apt
4.67,4.94,4.35,4.88,5.0,4.94,4.61,350,Entire home/apt
4.95,4.92,4.93,4.96,4.94,4.95,4.93,95,Private room
4.86,4.84,4.86,4.89,4.95,4.89,4.8,171,Entire home/apt
4.9,4.99,4.92,4.96,4.93,4.93,4.79,378,Entire home/apt
4.95,4.96,4.85,4.97,4.98,4.98,4.87,208,Entire home/apt
4.97,5.0,4.99,4.93,4.96,4.99,4.97,2000,Private room
4.77,4.84,4.84,4.84,4.97,4.81,4.74,131,Entire home/apt
4.94,5.0,4.92,5.0,5.0,5.0,4.79,150,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,193,Entire home/apt
4.91,4.97,4.75,4.97,4.96,4.89,4.81,81,Entire home/apt
4.67,4.89,5.0,4.89,5.0,4.67,4.56,85,Private room
4.42,4.57,4.46,4.38,4.58,4.65,4.35,206,Entire home/apt
4.66,4.88,4.78,4.8,4.94,4.18,4.78,81,Entire home/apt
4.17,4.33,4.5,4.67,4.5,4.33,4.17,110,Entire home/apt
4.89,4.89,4.83,4.97,4.94,4.92,4.79,175,Entire home/apt
4.91,4.87,4.88,4.99,4.98,4.91,4.83,118,Entire home/apt
4.6,4.6,4.5,4.9,4.8,4.4,4.7,130,Entire home/apt
4.92,4.97,4.98,4.97,4.95,4.82,4.91,110,Entire home/apt
4.97,4.97,4.95,4.95,5.0,5.0,4.73,380,Entire home/apt
4.76,4.9,4.86,4.99,4.9,4.94,4.83,109,Entire home/apt
5.0,4.97,4.97,4.97,5.0,4.94,4.78,109,Entire home/apt
4.95,4.99,4.97,4.98,4.96,4.9,4.9,217,Entire home/apt
4.83,4.91,4.83,4.94,4.94,4.92,4.83,175,Entire home/apt
4.87,4.93,4.87,4.93,5.0,5.0,4.88,129,Entire home/apt
4.84,4.87,4.94,4.96,4.95,4.78,4.75,197,Entire home/apt
4.83,4.93,4.88,4.98,4.95,4.85,4.87,249,Entire home/apt
4.93,4.96,4.93,4.96,5.0,5.0,4.86,139,Entire home/apt
4.81,4.87,4.67,4.75,4.93,4.97,4.77,263,Entire home/apt
4.74,4.77,4.82,4.64,4.41,4.8,4.66,188,Entire home/apt
4.87,5.0,4.92,4.84,4.92,4.63,4.87,125,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,60,Entire home/apt
5.0,4.88,4.88,5.0,5.0,5.0,4.5,93,Entire home/apt
4.91,4.92,4.92,4.94,4.93,4.83,4.77,127,Entire home/apt
4.75,4.87,4.77,4.78,4.91,4.58,4.75,214,Entire home/apt
4.88,4.96,4.84,4.8,4.92,4.88,4.6,120,Entire home/apt
4.93,4.95,4.98,4.97,4.98,4.91,4.93,154,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,150,Entire home/apt
4.68,4.83,4.83,4.94,5.0,4.83,4.67,764,Entire home/apt
5.0,4.95,5.0,5.0,4.92,5.0,4.76,1350,Entire home/apt
4.93,4.93,4.78,4.96,5.0,4.81,4.69,493,Entire home/apt
4.91,4.95,4.97,4.97,4.98,4.84,4.86,399,Entire home/apt
4.83,4.89,4.84,4.96,4.9,4.86,4.73,400,Entire home/apt
4.6,5.0,4.2,4.8,4.8,5.0,4.6,204,Entire home/apt
4.76,4.88,4.82,4.96,4.93,4.69,4.7,50,Entire home/apt
4.64,4.67,4.58,4.92,4.62,4.85,4.38,196,Entire home/apt
4.84,4.84,4.95,4.83,4.81,4.97,4.67,350,Entire home/apt
4.88,4.92,4.9,4.99,5.0,4.8,4.63,593,Entire home/apt
4.91,4.99,4.99,5.0,4.93,4.9,4.92,145,Entire home/apt
4.72,4.75,4.86,4.89,4.96,4.96,4.54,271,Entire home/apt
4.8,4.8,4.8,4.75,4.8,4.75,4.5,125,Entire home/apt
4.56,4.78,4.33,4.78,4.89,4.67,4.44,239,Entire home/apt
4.94,4.97,4.91,4.99,4.99,4.96,4.91,157,Entire home/apt
4.44,4.69,4.56,4.25,4.38,4.75,4.25,168,Private room
4.95,4.98,4.92,4.93,4.97,4.79,4.81,250,Entire home/apt
4.87,4.95,4.85,4.83,4.93,4.8,4.71,529,Entire home/apt
4.75,4.75,5.0,5.0,4.75,5.0,4.75,105,Entire home/apt
5.0,5.0,4.71,5.0,5.0,5.0,4.83,149,Entire home/apt
4.93,4.87,4.6,5.0,5.0,5.0,4.6,275,Entire home/apt
4.81,4.93,4.93,4.93,4.86,4.58,4.84,115,Entire home/apt
4.95,4.97,4.92,4.98,5.0,4.93,4.95,475,Entire home/apt
4.72,4.88,4.65,4.83,4.81,4.89,4.69,160,Entire home/apt
4.84,4.76,4.85,4.93,4.89,4.61,4.74,65,Entire home/apt
4.58,4.74,4.65,4.57,4.87,5.0,4.78,179,Entire home/apt
4.95,4.99,4.98,4.97,4.99,4.94,4.89,229,Entire home/apt
4.84,4.84,4.86,4.91,4.93,4.96,4.8,88,Private room
5.0,4.94,4.9,4.98,4.96,5.0,4.94,120,Private room
4.86,4.88,4.92,4.95,4.96,4.88,4.78,135,Entire home/apt
4.0,3.0,3.0,4.0,5.0,4.0,4.0,130,Entire home/apt
4.79,4.82,4.87,4.86,4.91,4.95,4.73,95,Private room
4.91,4.97,4.96,4.97,4.97,4.73,4.83,247,Entire home/apt
0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,250,Entire home/apt
4.81,4.94,4.84,4.91,4.91,4.75,4.91,180,Entire home/apt
4.91,4.93,4.94,4.96,4.97,4.69,4.81,136,Private room
4.92,4.86,4.91,4.92,4.94,4.82,4.8,200,Entire home/apt
4.85,4.93,4.96,4.93,4.93,4.86,4.82,321,Entire home/apt
4.94,4.89,4.94,4.89,5.0,4.94,4.65,120,Entire home/apt
4.76,4.81,4.81,4.91,4.81,4.73,4.69,159,Entire home/apt
4.8,4.84,4.73,4.86,4.95,4.95,4.74,211,Entire home/apt
4.79,4.86,4.79,4.93,4.86,4.72,4.76,198,Entire home/apt
4.25,4.5,4.0,4.31,4.44,4.94,4.19,954,Entire home/apt
4.89,4.95,4.9,4.89,4.92,4.94,4.81,199,Private room
4.76,5.0,4.86,5.0,5.0,4.86,4.71,200,Entire home/apt
5.0,5.0,4.92,5.0,5.0,4.92,4.92,120,Entire home/apt
4.85,4.95,4.94,4.9,4.95,4.68,4.78,220,Entire home/apt
4.87,4.95,4.92,4.92,4.84,4.68,4.83,100,Entire home/apt
4.33,4.49,4.51,4.51,4.67,4.8,4.24,263,Entire home/apt
4.5,4.83,4.67,4.7,4.7,4.65,4.87,70,Entire home/apt
4.95,4.89,4.98,4.9,4.96,4.67,4.84,146,Entire home/apt
5.0,5.0,5.0,5.0,4.9,5.0,4.8,297,Entire home/apt
4.83,4.88,4.95,4.95,4.98,4.95,4.73,133,Entire home/apt
4.37,4.5,3.53,4.9,4.73,4.63,4.23,195,Entire home/apt
4.87,4.93,4.82,4.94,4.97,4.88,4.72,132,Private room
4.98,4.99,4.91,4.99,4.99,4.92,4.89,166,Private room
4.76,4.97,4.69,4.97,4.86,4.9,4.59,115,Entire home/apt
4.96,5.0,4.91,4.99,4.99,4.92,4.9,279,Entire home/apt
5.0,5.0,5.0,5.0,5.0,5.0,5.0,250,Entire home/apt
4.87,4.78,4.79,4.89,4.86,4.95,4.61,436,Entire home/apt
4.94,4.98,4.99,4.97,4.98,4.89,4.92,183,Entire home/apt
4.97,4.97,4.97,5.0,5.0,4.98,4.9,213,Entire home/apt
4.83,4.9,4.77,4.96,4.89,4.97,4.76,508,Entire home/apt
4.79,4.87,4.87,4.96,4.95,4.74,4.76,103,Entire home/apt
4.53,4.63,4.72,4.85,4.72,4.84,4.35,119,Private room
