"","","","","","","","","","",""
"TABLE 1","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"","Burnaby South","$ 2,071,100","384.7","3.7 %","1.6 %","-0.4 %","-10.6 %","22.4 %","18.3 %","104.8 %"
"","Coquitlam","$ 1,735,300","397.0","2.4 %","2.2 %","-2.5 %","-10.6 %","37.1 %","30.2 %","143.3 %"
"","Ladner","$ 1,253,000","302.6","0.1 %","-3.6 %","-7.6 %","-19.3 %","28.4 %","22.3 %","90.0 %"
"","Maple Ridge","$ 1,179,500","344.9","0.9 %","1.1 %","-4.1 %","-20.5 %","37.2 %","35.9 %","156.4 %"
"","New Westminster","$ 1,430,100","357.4","0.8 %","1.9 %","-3.5 %","-12.7 %","27.6 %","20.3 %","113.1 %"
"","North Vancouver","$ 2,141,300","334.0","4.0 %","2.9 %","2.3 %","-11.4 %","26.6 %","16.5 %","111.0 %"
"","Pitt Meadows","$ 1,172,100","346.3","4.5 %","0.5 %","-5.6 %","-23.9 %","29.5 %","29.5 %","137.0 %"
"","Port Coquitlam","$ 1,310,300","370.4","2.2 %","2.6 %","-0.3 %","-16.2 %","39.5 %","33.1 %","154.4 %"
"","Port Moody","$ 2,017,400","382.0","2.4 %","3.1 %","-2.7 %","-6.7 %","38.2 %","33.1 %","156.7 %"
"","Richmond","$ 2,108,100","430.3","5.1 %","6.6 %","1.3 %","-4.0 %","30.4 %","15.4 %","107.9 %"
"","Squamish","$ 1,543,300","382.7","4.4 %","2.6 %","-7.0 %","-12.9 %","34.0 %","40.1 %","202.5 %"
"","Sunshine Coast","$ 860,300","300.0","-0.9 %","-5.7 %","-9.1 %","-13.6 %","48.1 %","39.0 %","153.4 %"
"","Tsawwassen","$ 1,374,700","304.5","3.0 %","-4.4 %","-10.8 %","-18.3 %","23.2 %","12.2 %","90.9 %"
"","Vancouver East","$ 1,713,000","383.3","2.1 %","2.1 %","-1.6 %","-12.0 %","19.7 %","11.7 %","105.3 %"
"","Vancouver West","$ 3,218,500","335.8","3.7 %","4.7 %","-1.2 %","-9.0 %","8.9 %","-3.4 %","55.4 %"
"","West Vancouver","$ 3,019,500","280.8","-1.1 %","-2.3 %","-7.5 %","-9.0 %","16.5 %","-3.6 %","55.1 %"
"","Whistler","$ 2,382,000","321.7","5.0 %","1.8 %","-7.9 %","-14.0 %","35.8 %","43.6 %","163.7 %"
"","","","","","","","","","",""
"","","","","","","","","","",""
"TABLE 2","","","","","","","","","",""
"","","","","","","","","","",""
"Property Type","Area","Benchmark
Price","Price
Index","1 Month
Change %","3 Month
Change %","6 Month
Change %","1 Year
Change %","3 Year
Change %","5 Year
Change %","10 Year
Change %"
"Townhouse","Lower Mainland","$ 926,600","350.6","1.9 %","2.8 %","-1.1 %","-10.7 %","34.4 %","28.9 %","125.9 %"
"","Greater Vancouver","$ 1,056,400","363.9","1.7 %","4.3 %","0.7 %","-7.8 %","31.1 %","25.6 %","124.6 %"
"","Burnaby East","$ 869,600","366.1","-0.6 %","1.8 %","1.9 %","-2.6 %","29.3 %","22.0 %","121.6 %"
"","Burnaby North","$ 882,500","358.3","-1.1 %","2.5 %","-1.5 %","-2.2 %","26.2 %","23.3 %","121.7 %"
"","Burnaby South","$ 956,200","355.3","-1.1 %","0.8 %","0.1 %","-7.0 %","24.6 %","16.0 %","115.5 %"
"","Coquitlam","$ 1,016,900","393.8","1.7 %","3.9 %","-1.5 %","-11.1 %","34.7 %","30.1 %","158.1 %"
"","Ladner","$ 998,500","383.4","1.0 %","13.4 %","8.6 %","-2.9 %","37.9 %","30.0 %","145.8 %"
"","Maple Ridge","$ 731,700","363.5","1.1 %","2.7 %","-2.6 %","-19.3 %","38.3 %","29.6 %","162.3 %"
"","New Westminster","$ 934,300","397.7","0.2 %","7.0 %","3.5 %","-1.1 %","43.7 %","36.2 %","137.0 %"
"","North Vancouver","$ 1,304,600","354.3","1.4 %","6.5 %","6.9 %","-7.3 %","36.1 %","31.3 %","126.7 %"
"","Pitt Meadows","$ 765,000","370.6","0.9 %","-5.3 %","-6.6 %","-17.0 %","30.1 %","23.5 %","150.1 %"
"","Port Coquitlam","$ 898,400","359.8","1.6 %","3.3 %","-1.3 %","-11.7 %","37.9 %","32.7 %","155.5 %"
"","Port Moody","$ 1,006,700","382.2","2.3 %","2.1 %","-3.5 %","-10.3 %","36.8 %","33.3 %","151.0 %"
"","Richmond","$ 1,103,200","395.7","1.9 %","5.1 %","4.9 %","-1.1 %","38.2 %","31.2 %","126.4 %"
"","Squamish","$ 1,007,000","363.0","2.9 %","5.6 %","0.2 %","-9.3 %","34.7 %","39.7 %","194.9 %"
"","Sunshine Coast","$ 730,000","331.1","2.8 %","5.1 %","0.9 %","-8.9 %","37.5 %","44.8 %","170.5 %"
"","Tsawwassen","$ 1,000,400","313.9","0.1 %","11.5 %","7.2 %","-3.8 %","24.2 %","7.7 %","94.7 %"
"","Vancouver East","$ 1,079,600","353.5","2.6 %","3.8 %","0.9 %","-8.2 %","19.7 %","14.2 %","100.6 %"
"","Vancouver West","$ 1,391,300","311.1","3.2 %","3.4 %","-4.4 %","-9.4 %","13.0 %","2.1 %","85.7 %"
"","Whistler","$ 1,443,700","368.0","2.6 %","5.0 %","0.2 %","-8.8 %","38.6 %","52.6 %","219.4 %"
"Apartment","Lower Mainland","$ 684,600","339.2","1.0 %","3.3 %","0.6 %","-5.9 %","19.6 %","11.7 %","105.5 %"
"","Greater Vancouver","$ 737,400","336.9","0.7 %","3.3 %","1.2 %","-4.6 %","16.3 %","10.1 %","103.4 %"
"","Burnaby East","$ 794,000","333.5","3.5 %","3.4 %","3.6 %","-5.0 %","16.9 %","9.4 %","116.1 %"
"","Burnaby North","$ 713,800","360.3","1.6 %","3.1 %","0.9 %","-3.5 %","23.8 %","19.9 %","117.6 %"
"","Burnaby South","$ 774,900","368.8","1.0 %","3.0 %","3.3 %","-3.5 %","18.1 %","13.0 %","117.8 %"
"","Coquitlam","$ 665,600","377.5","0.4 %","1.9 %","0.6 %","-7.8 %","18.6 %","16.7 %","140.8 %"
"","Ladner","$ 714,300","363.3","0.6 %","6.5 %","0.7 %","1.9 %","49.4 %","38.9 %","149.3 %"
"","Maple Ridge","$ 504,100","348.1","-0.7 %","-0.8 %","-6.0 %","-11.6 %","30.4 %","28.2 %","144.6 %"
"","New Westminster","$ 648,000","388.5","2.3 %","4.6 %","2.2 %","-3.1 %","24.4 %","18.5 %","133.9 %"
"","North Vancouver","$ 782,800","312.6","2.5 %","3.5 %","-0.6 %","-5.6 %","18.5 %","10.6 %","109.2 %"
"","Pitt Meadows","$ 568,900","383.6","-0.6 %","-0.6 %","-5.8 %","-12.0 %","25.3 %","21.4 %","148.3 %"
"","Port Coquitlam","$ 615,300","418.3","0.6 %","2.7 %","1.9 %","-5.9 %","31.8 %","25.4 %","170.0 %"
"","Port Moody","$ 699,800","373.0","-0.8 %","2.9 %","-1.5 %","-5.8 %","19.7 %","19.0 %","137.7 %"
"","Richmond","$ 726,300","392.4","-1.3 %","5.4 %","3.2 %","-1.4 %","24.0 %","17.8 %","120.7 %"
"","Squamish","$ 608,000","360.6","4.9 %","21.1 %","5.8 %","-2.5 %","41.0 %","33.9 %","181.1 %"
"","Sunshine Coast","$ 576,700","330.5","6.9 %","20.8 %","6.4 %","-2.7 %","29.4 %","17.4 %","125.9 %"
"","Tsawwassen","$ 740,600","345.8","1.3 %","6.6 %","1.1 %","1.4 %","37.2 %","23.5 %","138.6 %"
"","Vancouver East","$ 688,400","394.3","0.7 %","1.7 %","0.2 %","-5.5 %","10.1 %","5.9 %","112.3 %"
"","Vancouver West","$ 827,400","312.3","0.4 %","1.9 %","0.6 %","-5.8 %","5.5 %","0.2 %","88.6 %"
"","West Vancouver","$ 1,213,300","236.9","-1.3 %","1.0 %","1.7 %","-1.7 %","13.3 %","-4.3 %","65.9 %"
"","Whistler","$ 686,600","295.9","4.6 %","20.8 %","7.8 %","-1.5 %","46.3 %","41.9 %","170.7 %"
